subscriber_id,antenna_id,tower_id,regions,prefectures
GudMukUipk,a35,t13,KARA,ASSOLI
mIchMaqvWj,a7,t64,KARA,KPENDJAL
lynuPtHkoS,a242,t51,MARITIME,OTI
YGYcLsXFRt,a129,t73,MARITIME,OTI-SUD
lCziTEfqUQ,a230,t6,SAVANES,ASSOLI
qVBxYOXntk,a3,t56,MARITIME,WAWA
gmVWRqBoQV,a189,t21,CENTRALE,TCHAOUDJO
aTYHkibWJz,a134,t59,CENTRALE,TONE
UhEPUfBRmg,a36,t30,SAVANES,YOTO
WLLHViBXaK,a84,t45,CENTRALE,KPELE
AASxnSdfla,a234,t68,SAVANES,EST-MONO
NPeDljvYMx,a81,t57,SAVANES,SOTOUBOUA
yRADykVpRf,a143,t19,SAVANES,KLOTO
zJBJiicWQP,a227,t82,PLATEAUX,DANYI
DqAbgayQaH,a171,t31,SAVANES,DANYI
XrjUlgrTZi,a57,t70,SAVANES,MOYEN-MONO
uqeBjOfSVz,a235,t60,MARITIME,ZIO
aIAqzmDCXE,a125,t75,SAVANES,BASSAR
AsvtszbEnV,a250,t33,PLATEAUX,KOZAH
fnmFFTzlpW,a195,t17,SAVANES,KOZAH
XCFXXkOFDC,a238,t78,MARITIME,GOLFE
ApDvhzOUJr,a46,t96,MARITIME,TCHAOUDJO
tPzDNhtjKq,a242,t0,SAVANES,DOUFELGOU
GZoAMDsevu,a258,t82,SAVANES,TCHAOUDJO
oXDALOBqfk,a256,t41,CENTRALE,TANDJOARE
WgMwBmzvJI,a81,t67,SAVANES,AKEBOU
gheZLWoinq,a18,t85,SAVANES,DANKPEN
mCndLeBGMM,a173,t62,PLATEAUX,TANDJOARE
tbQleqKEbx,a193,,MARITIME,TCHAMBA
zeBKFbSiTi,a112,t34,CENTRALE,OTI
dGesslJJdz,a283,t24,SAVANES,GOLFE
fWextEzdas,a224,t97,MARITIME,YOTO
yiJQHqojhy,a83,t72,CENTRALE,TANDJOARE
KyAZnzyoVg,a20,t12,MARITIME,BLITTA
ZEyRMTfnfu,a224,t50,PLATEAUX,MOYEN-MONO
wInDWSpydA,a43,t63,SAVANES,BINAH
feaEGENFKe,a84,t64,SAVANES,MOYEN-MONO
TyojoQrkXf,a11,t33,KARA,LOME COMMUNE
pvMOTvkwXO,a226,t59,MARITIME,AGOE-NYIVE
sSFBDlDpaF,a218,t35,KARA,LOME COMMUNE
uBfDcSdVgQ,a100,t19,SAVANES,HAHO
VgzPqPFQUJ,a293,t6,CENTRALE,EST-MONO
jePMLdZOxZ,a88,t23,SAVANES,OGOU
YdgolrVLkw,a172,t96,SAVANES,BAS-MONO
